,route-collected,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),19:15,08:30,13h 15m,600,15 Seats available,4.6
1,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),19:00,07:30,12h 30m,INR 599,13 Seats available,4.4
2,Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),19:25,07:45,12h 20m,INR 349,22 Seats available,4.5
3,Pune to Goa,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),21:15,09:30,12h 15m,833,17 Seats available,4.2
4,Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,07:15,12h 15m,INR 349,12 Seats available,4.3
5,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:30,09:30,13h 00m,INR 920,15 Seats available,4.2
6,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:01,12h 31m,INR 600,14 Seats available,4.1
7,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),22:45,09:45,11h 00m,INR 607,11 Seats available,4.0
8,Pune to Goa,Ashray National Express,NON A/C Sleeper (2+1),19:20,06:45,11h 25m,513,14 Seats available,4.2
9,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:00,08:45,11h 45m,INR 1020,18 Seats available,4.2
10,Pune to Goa,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),22:45,09:35,10h 50m,INR 699,17 Seats available,4.0
11,Pune to Goa,Laxmi Queen Asta,A/C Sleeper (2+1),19:15,08:00,12h 45m,INR 599,19 Seats available,4.1
12,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),19:30,08:00,12h 30m,INR 600,14 Seats available,4.0
13,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),20:00,08:45,12h 45m,INR 575,7 Seats available,4.6
14,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),20:15,09:30,13h 15m,600,4 Seats available,4.5
15,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),19:30,08:00,12h 30m,555,8 Seats available,4.4
16,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:35,10:00,12h 25m,573,7 Seats available,4.3
17,Pune to Goa,Zingbus Plus,VE A/C Sleeper (2+1),22:55,11:10,12h 15m,513,10 Seats available,4.3
18,Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:45,07:00,10h 15m,INR 650,5 Seats available,4.4
19,Pune to Goa,Indumati Travels,A/C Sleeper (2+1),20:25,08:30,12h 05m,570,7 Seats available,4.2
20,Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),19:20,06:45,11h 25m,INR 499,5 Seats available,4.1
21,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),20:20,07:40,11h 20m,INR 543,5 Seats available,4.1
22,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),20:35,09:30,12h 55m,855,5 Seats available,4.0
23,Pune to Goa,Sangitam Travels Tanzanite,A/C Sleeper (2+1),19:25,06:45,11h 20m,INR 524,10 Seats available,4.2
24,Pune to Goa,Prasanna - Purple Bus,VE A/C Sleeper (2+1),20:55,09:30,12h 35m,INR 1020,10 Seats available,4.2
25,Pune to Goa,Laxmi Empress Stellar,NON A/C Sleeper (2+1),19:15,08:00,12h 45m,INR 549,8 Seats available,4.0
26,Pune to Goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),22:25,09:10,10h 45m,INR 799,19 Seats available,3.6
27,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:00,07:30,12h 30m,INR 350,22 Seats available,3.3
28,Pune to Goa,Laxmi Queen Grand,A/C Sleeper (2+1),20:15,08:30,12h 15m,INR 599,14 Seats available,3.8
29,Pune to Goa,Abhishek Vishal Travels,NON A/C Push Back (2+2),20:25,07:10,10h 45m,INR 1500,27 Seats available,3.2
30,Pune to Goa,Dolphin Travel House (39),A/C Sleeper (2+1),22:15,09:15,11h 00m,INR 710,16 Seats available,3.2
31,Pune to Goa,Anand Travels,NON A/C Sleeper (2+1),20:30,10:00,13h 30m,504,14 Seats available,3.4
32,Pune to Goa,Traveltime Travels (St.Christopher),Non AC Seater (2+2),19:00,07:30,12h 30m,INR 350,22 Seats available,3.4
33,Pune to Goa,Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),22:25,09:10,10h 45m,INR 600,19 Seats available,3.2
34,Pune to Goa,KOKAN TOURS & TRAVELS,NON A/C Seater Push Back (2+2),19:15,08:45,13h 30m,INR 3000,27 Seats available,3.0
35,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),20:45,08:20,11h 35m,INR 600,9 Seats available,3.9
36,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:35,08:15,10h 40m,INR 602,2 Seats available,3.9
37,Pune to Goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),19:45,08:30,12h 45m,545,4 Seats available,3.9
38,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),20:35,09:00,12h 25m,INR 950,5 Seats available,3.4
39,Pune to Goa,PSR Travels Goa,A/C Sleeper (2+1),23:00,09:15,10h 15m,INR 799,10 Seats available,3.6
40,Pune to Goa,Atmaram Manish Travels,NON A/C Hi-Tech (2+2),20:30,07:30,11h 00m,463,27 Seats available,2.4
41,Pune to Goa,Dolphin travel house,A/C Sleeper (2+1),23:20,10:45,11h 25m,INR 710,7 Seats available,2.9
42,Pune to Goa,VRL Travels,A/C Sleeper (2+1),20:30,08:00,11h 30m,INR 800,16 Seats available,3.4
43,Goa to Pune,Atmaram Gobus,VE A/C Sleeper (2+1),21:15,09:10,11h 55m,INR 555,19 Seats available,4.8
44,Goa to Pune,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:05,10:30,13h 25m,388,26 Seats available,4.4
45,Goa to Pune,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,10:00,13h 00m,513,21 Seats available,4.5
46,Goa to Pune,AdShreyash Travels,A/C Sleeper (2+1),19:40,06:00,10h 20m,455,16 Seats available,3.5
47,Goa to Pune,Atmaram Travels(M.Dev),A/C Sleeper (2+1),20:45,07:45,11h 00m,INR 700,21 Seats available,4.6
48,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),20:30,07:05,10h 35m,INR 600,22 Seats available,4.4
49,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),20:00,07:30,11h 30m,INR 500,12 Seats available,4.3
50,Goa to Pune,IntrCity SmartBus,AC Sleeper (2+1),19:05,05:25,10h 20m,INR 600,12 Seats available,4.4
51,Goa to Pune,Ashray Travels,Non A/C Seater / Sleeper (2+1),19:30,09:00,13h 30m,INR 350,27 Seats available,4.4
52,Goa to Pune,Ashray Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),19:30,07:15,11h 45m,600,15 Seats available,4.2
53,Goa to Pune,Prasanna Purple Big Bus,VE A/C Sleeper (2+1),20:15,07:30,11h 15m,INR 770,21 Seats available,4.2
54,Goa to Pune,Amrutyog Travels,A/C Sleeper (2+1),19:15,06:22,11h 07m,INR 399,11 Seats available,4.2
